"Name","Type","Rame","Price","Stars","Counto","Countp"
"Горный (MTB) велосипед STELS Navigator 700 MD 27.5 V010 (2018)","велосипед","рама: сталь",14070,4.5,7,18
"Городской велосипед STELS Pilot 410 20 Z011 (2018)","городской","рама: сталь, складной",5449,5,1,36
"Детский велосипед STELS Jet 18 Z010 (2018)","детский","размер рамы: 10.0 дюйм",3875,4.5,8,34
"Городской велосипед STELS Pilot 710 24 Z010 (2018)","городской","рама: сталь, складной",5799,4.5,1,40
"Детский велосипед STELS Flyte Lady 14 Z011 (2018)","велосипед","размер рамы: 9.5 дюйм",4670,5,1,10
"Детский велосипед Novatrack Vector 20 (2019)","детский","рама: сталь",5348,5,NA,33
"Городской велосипед STELS Pilot 750 24 Z010 (2018)","городской","рама: сталь, складной",7699,4.5,3,46
"Подростковый горный (MTB) велосипед STELS Navigator 400 MD 24 V010 (2018)","велосипед","возраст 9 - 15 лет",10244,4.5,2,18
"Горный (MTB) велосипед Десна 2610 MD","велосипед","рама: сталь",10481,5,7,94
"Горный (MTB) велосипед STELS Navigator 620 MD 26 V010 (2018)","велосипед","рама: алюминиевый сплав",13859,4.5,4,36
"Горный (MTB) велосипед STELS Pilot 950 MD 26 V010 (2018)","велосипед","рама: алюминиевый сплав, складной",17350,4.5,10,36
"Горный (MTB) велосипед STELS Miss 5000 MD 26 V010 (2018)","женский","рама: сталь",10649,5,2,37
"Детский велосипед STELS Jet 16 Z010 (2018)","детский","размер рамы: 9.0 дюйм",3717,4.5,4,30
"Детский велосипед STELS Jet 14 Z010 (2018)","детский","размер рамы: 8.5 дюйм",3617,4.5,7,28
"Горный (MTB) велосипед FORWARD Sporting 29 2.0 Disc (2019)","велосипед","рама: сталь",14000,4.5,3,47
"Горный (MTB) велосипед Десна 2600 V","женский","рама: сталь",8990,4.5,4,83
"Городской велосипед Десна 2200","городской","рама: сталь, складной",4990,4.5,1,41
"Горный (MTB) велосипед STELS Navigator 600 V 26 V030 (2018)","велосипед","рама: алюминиевый сплав",11149,5,3,44
"Горный (MTB) велосипед STELS Navigator 500 MD 26 V020 (2018)","велосипед","рама: сталь",10399,4.5,5,26
"Детский велосипед STELS Talisman 14 Z010 (2018)","детский","размер рамы: 9.5 дюйм",3764,5,1,26
"Детский велосипед STELS Flyte Lady 16 Z011 (2018)","велосипед","рама: сталь",4800,5,2,6
"Горный (MTB) велосипед STELS Focus MD 26 21-sp V010 (2018)","велосипед","рама: сталь",11772,4.5,4,47
"Горный (MTB) велосипед STELS Crosswind 26 21-sp Z010 (2018)","велосипед","рама: сталь",12850,5,2,6
"Городской велосипед FORWARD Enigma 1.0 (2018)","городской","рама: алюминиевый сплав, складной",13248,5,3,12
"Городской велосипед Десна 2500","городской","рама: сталь, складной",5180,4,6,32
"Горный (MTB) велосипед STELS Navigator 700 V 27.5 V010 (2018)","велосипед","рама: сталь",10921,5,1,31
"Горный (MTB) велосипед STELS Navigator 640 D 26 V010 (2019)","велосипед","рама: алюминиевый сплав",16949,5,1,26
"Детский велосипед Royal Baby RB16B-6 Freestyle 16 Steel","детский","рама: сталь",10200,5,1,22
"Городской велосипед FORWARD Tracer 2.0 Disc (2018)","городской","рама: алюминиевый сплав, складной",18220,4.5,3,31
"Городской велосипед ALTAIR City 20 (2017)","городской","рама: сталь, складной",5481,5,2,9
"Городской велосипед STELS Pilot 310 20 Z011 (2018)","городской","рама: сталь, складной",4999,4.5,3,42
"Подростковый горный (MTB) велосипед STELS Navigator 460 MD 24 V021 (2018)","велосипед","возраст 9 - 15 лет",16820,5,1,20
"Городской велосипед STELS Navigator 325 28 Z010 (2018)","женский","рама: сталь",7760,4.5,3,11
"Детский велосипед Royal Baby RB14B-6 Freestyle 14 Steel","детский","рама: сталь",9390,5,1,19
"Подростковый горный (MTB) велосипед Десна Метеор 24","велосипед","возраст 9 - 15 лет",8612,4.5,2,16
"Детский велосипед STELS Pilot 190 16 V030 (2018)","детский","размер рамы: 8.5 дюйм",8460,5,NA,40
"Горный (MTB) велосипед Merida Matts 20-MD (2014)","велосипед","рама: алюминиевый сплав",25000,5,14,3
"Городской велосипед FORWARD Tracer 1.0 (2018)","городской","рама: алюминиевый сплав, складной",17810,4.5,3,37
"Городской велосипед SHULZ Max","городской","колеса 20 дюймов",14400,4.5,9,32
"Городской велосипед STELS Navigator 210 Gent 26 Z010 (2018)","городской","рама: сталь",6199,4.5,1,17
"Городской велосипед Stinger Victoria 26 (2018)","женский","рама: сталь",12324,4,NA,51
"Горный (MTB) велосипед Stinger Latina 26 (2018)","женский","рама: сталь",10148,5,1,49
"Подростковый горный (MTB) велосипед Novatrack Racer 20 6 (2017)","горный","возраст 6 - 9 лет",10050,4.5,2,22
"Горный (MTB) велосипед FORWARD Apache 27.5 2.0 Disc (2019)","велосипед","рама: алюминиевый сплав",17000,NA,NA,71
"Городской велосипед SHULZ Hopper 3","городской","колеса 16 дюймов",24900,5,9,39
"Детский велосипед STELS Pilot 180 16 V010 (2018)","детский","размер рамы: 9 дюйм",9740,5,2,17
"Велосипед BMX STARK Madness BMX 1 (2019)","велосипед","колеса 20 дюймов",16990,NA,NA,34
"Горный (MTB) велосипед STELS Navigator 500 V 26 V020 (2018)","велосипед","рама: сталь",9399,4,1,38
